ts,bar_idx,setup_type,side,entry,vol_z_1m,vol_z_15m,vol_z_1h,atr_1h_pct,atr_ratio_20,bb_width_pct,ema50_200_spread_pct,adx_1h,trend_slope_6h_pct,rsi_1h,rsi_15m,mfi_1h,eth_rsi_1h,btc_eth_corr_30h,session,hour_utc,last5_close_lean,last5_wick_imbalance,verdict,pnl_pct,hold_minutes,class
1747525560000,15120,long_dump_reversal,long,102880.9,3.0226991657074986,-0.643822006416428,-0.983872340985717,0.3195058835768576,0.6546390197725112,0.9377177341265851,-0.012716827171597883,11.22564068090503,-0.003665261552772384,55.27936627410669,47.7477391627515,38.18235331342915,50.0,0.0,US,23,0.5628860942380915,0.6294784580489393,NO_FILL,0.0,0,NEUTRAL
1747626360000,16800,long_dump_reversal,long,103508.5,1.2335137444914914,0.05042814947585707,0.04990719872465279,0.9996523087575429,3.421553695794629,3.113459074257811,0.4956994332509408,7.1762405907555955,-0.5514474030522829,43.28059494213867,13.564842303796667,46.50683594698816,50.0,0.0,ASIA,3,0.3707283536049938,0.2198292220114885,SL,-0.7818,63,FALSE
1747629960000,16860,long_dump_reversal,long,102946.8,2.7741333755864006,0.7781855916796676,1.3558644280641365,1.0054645365032802,3.545245209088678,3.356896820926944,0.44946334908693863,12.595762485203707,-2.7622793196517246,36.672313609759435,16.528898965694125,36.608015242373554,50.0,0.0,ASIA,4,0.7294878805165885,0.6625954198471463,SL,-0.7819,105,FALSE
1747637160000,16980,long_dump_reversal,long,102149.9,-0.5045937696320348,-0.2249679509003511,1.0242624794395716,1.0322563511942031,3.9391319249853813,4.038270381146777,0.3376520801889492,27.464302601668425,-2.900298762465224,29.498858722040865,15.720948640875179,23.177367910644847,50.0,0.0,ASIA,6,0.5655880882909987,1.228305106997929,TP1,1.4847,120,TRUE
1748040360000,23700,long_dump_reversal,long,107574.5,4.082415628337878,2.971664680830187,-0.40318503211019147,0.9072928747174955,1.599010367555989,4.079468849967265,2.426747412043515,55.87065370574336,-1.1657771828020222,29.066045426828765,27.376613101797403,30.43510521893087,50.0,0.0,US,22,0.10427363092636004,0.23323500491640559,SL,-0.7818,38,FALSE
1748043960000,23760,long_dump_reversal,long,106669.6,-0.4715565537037964,2.210728640599742,-0.040562243792859165,0.953020793551251,1.745587746044482,4.307336835420727,2.3289054339541178,66.2991338918075,-1.9145160315914802,23.483426151112027,25.564868142962084,27.035799546401464,50.0,0.0,US,23,0.49652015445682673,0.34292636804159343,NO_FILL,0.0,0,NEUTRAL
1748047560000,23820,long_dump_reversal,long,107070.1,-0.26259307925283343,-0.8734288056147981,-0.3694588858408562,0.9716675069557337,1.8215698070608333,4.467660119476409,2.2386178876484157,65.93885861298206,-1.3120289898100195,24.86208219819322,31.590582162802406,26.520688183253895,50.0,0.0,ASIA,0,0.22243804517994534,6.348254931721455,NO_FILL,0.0,0,NEUTRAL
1748130360000,25200,long_dump_reversal,long,107177.5,1.213951200839024,2.710591644921826,2.251390326882047,0.45648981431114494,0.6517838393679022,1.7034612499774715,1.4775032064737068,14.813099041534452,-1.0632755058917955,44.497996168498034,8.850795520719458,52.443629378945076,50.0,0.0,US,23,0.19919228548572193,1.3252175958599404,EXPIRE,0.0433,120,NEUTRAL
1748133960000,25260,long_dump_reversal,long,107235.0,0.3112766340898331,0.17739533037600347,0.41373478055989377,0.4403720054306081,0.6418687647539713,1.9314719548861468,1.4443912178262228,50.72024116154509,-1.2709252969460436,22.643691492005587,19.037485194158975,36.89706127052705,50.0,0.0,ASIA,0,0.5382780545043688,0.1837793667007093,EXPIRE,0.7925,120,NEUTRAL
1748162760000,25740,long_dump_reversal,long,106933.2,0.15045350381911413,3.6919870282955696,0.9255372280967955,0.49070185069907096,0.8449435342808371,2.140036316064102,1.0978854229460426,74.55513946281019,-0.7591949507453056,26.052646255089243,15.54679066091839,26.515884365814443,50.0,0.0,EU,8,0.4000686426757748,2.930769230771814,EXPIRE,0.2935,120,NEUTRAL
1748166360000,25800,long_dump_reversal,long,106697.2,0.8227053355445992,0.08465959010992034,1.1245075198226306,0.5125828538177082,0.96204978812532,2.319739369476663,1.0390281522646336,76.22210959466175,-0.8918759525698298,23.69665110042679,25.98818077654687,21.015989531266413,50.0,0.0,EU,9,0.475336726299039,1.6466602129718453,EXPIRE,0.439,120,NEUTRAL
1748169960000,25860,long_dump_reversal,long,106929.6,-0.5353857220998088,1.2966596078891706,0.4455527056930165,0.5337072723211934,1.0516974572917017,2.4492393818963554,1.0170994785078478,74.78784904666689,-1.1998775742594172,23.105625959145684,33.67417573732622,25.48957274216228,50.0,0.0,EU,10,0.3999909391222495,7.85185185178538,EXPIRE,0.4504,120,NEUTRAL
1748173560000,25920,long_dump_reversal,long,106838.5,1.7773222494246717,-0.6144267581463878,0.016697131487612787,0.5424595775285673,1.0868046882064055,2.444772649965369,1.0054314613058102,72.45066112135561,-0.7807113114614245,29.67159988728062,45.17463579632418,30.470198266806136,50.0,0.0,EU,11,0.5128243325199877,1.183180280329099,EXPIRE,0.3428,120,NEUTRAL
1748191560000,26220,long_dump_reversal,long,106839.9,2.159217936361873,-0.5908674474195127,0.8313583874601569,0.47112596718192556,1.1046155386180643,1.7740291116141584,0.7606402958774952,37.504817293206514,0.21319090684679431,37.48066672419623,42.85676426716341,40.49434837306091,50.0,0.0,US,16,0.7771857388467155,0.7199488491047797,NO_FILL,0.0,0,NEUTRAL
1748439960000,30360,long_dump_reversal,long,108147.9,0.3790689097153103,3.334679061359447,3.129699124327844,0.44373794043101095,0.7773097326712893,1.4820240387381012,0.8329285512847722,60.082141942319495,-0.6873869426347757,35.41335426436156,31.44076548018991,43.75294167067888,50.0,0.0,EU,13,0.31998514182682736,0.582256788821294,SL,-0.7818,74,FALSE
1748443560000,30420,long_dump_reversal,long,107458.7,1.0665348633644327,1.2822611557811787,3.7994451681835435,0.45864060836896536,0.7929393435946587,1.6974746854083917,0.7818153388769629,64.54487612069882,-1.391896310039069,24.190040279409644,17.77269577991592,29.835112810990324,50.0,0.0,US,14,0.44557504060782466,0.3468818782097071,EXPIRE,0.1932,120,NEUTRAL
1748447160000,30480,long_dump_reversal,long,107086.3,0.4252192621059981,0.02955912988315406,2.96468839222753,0.4585161234226574,0.7864026745583066,2.001950119778048,0.7750458119885254,69.07335089153362,-1.5459810935224532,25.130507945208905,14.141767598665183,24.61133556877016,50.0,0.0,US,15,0.6135392239213975,0.44404044994900765,EXPIRE,0.4639,120,NEUTRAL
1748450760000,30540,long_dump_reversal,long,106905.6,-0.5371651190450312,-0.9401780782953671,-0.07067178068046256,0.4492492752081302,0.7784766602205192,2.131557577944862,0.6400009892991122,66.54927527795662,-1.2947007420172203,32.29516754353554,28.61308978413595,31.087379607985355,50.0,0.0,US,16,0.29441500880438126,12.108982035961978,EXPIRE,0.4373,120,NEUTRAL
1748461560000,30720,long_dump_reversal,long,106896.7,2.8711124050686943,1.1117944198859004,0.21992588538086688,0.4983035031280876,0.8477981253068719,2.6293085840152197,0.29434705978262454,62.87173021626607,-1.0386380113714986,24.51176261822792,41.68767699880638,26.65994627199899,50.0,0.0,US,19,0.5194398127312188,0.2908356475636982,EXPIRE,0.4457,120,NEUTRAL
