ts,bar_idx,setup_type,side,entry,vol_z_1m,vol_z_15m,vol_z_1h,atr_1h_pct,atr_ratio_20,bb_width_pct,ema50_200_spread_pct,adx_1h,trend_slope_6h_pct,rsi_1h,rsi_15m,mfi_1h,eth_rsi_1h,btc_eth_corr_30h,session,hour_utc,last5_close_lean,last5_wick_imbalance,verdict,pnl_pct,hold_minutes,class
1747575960000,15960,long_double_bottom,long,104740.0,-0.584971268809867,2.406189183307666,3.283730798931587,0.2854994680705954,0.8566147018899998,1.5953546208373335,0.04848293450010505,76.40420125032624,0.7896601394600186,81.51455840355676,85.35827669553615,69.4955290766804,50.0,0.0,EU,13,0.3549323934954923,0.4392110368611034,TP1,0.7137,180,TRUE
1747586760000,16140,long_double_bottom,long,105822.22,-0.26577856848395714,1.341049372256602,1.251617998655794,0.4058066173895906,1.163656198329004,3.0553259652332105,0.18047839761272017,83.99674954454318,1.892422846417104,89.17904306098936,85.72332192290526,84.48634786750566,50.0,0.0,US,16,0.7837580738124064,0.032093189112576526,EXPIRE,-1.614,180,NEUTRAL
1747590360000,16200,long_double_bottom,long,104836.67,-1.0064942443739167,-0.48095175368309295,1.2954007707348443,0.4650281242240906,1.293082228086093,3.095185427065357,0.261825801189939,71.40694252817417,0.998193265661243,68.82082373546271,50.761684843551286,76.06187271966581,50.0,0.0,US,17,0.40140940105822337,0.3342453260375778,EXPIRE,-0.8293,180,NEUTRAL
1747593960000,16260,long_double_bottom,long,104498.0,2.0249682924558843,-0.7501671835385328,1.9545117691312681,0.5210188575037663,1.4757722323117204,3.0069382457857805,0.3080516569431752,35.461866971139315,0.5371867232572034,63.068268867978496,34.63195842639364,64.40378631881256,50.0,0.0,US,18,0.64872320482078,1.1620009178528878,EXPIRE,-0.045,180,NEUTRAL
1747601160000,16380,long_double_bottom,long,104053.05,-1.3135909313287482,-0.9963532109965494,1.6333597528513055,0.6073042274383792,1.8722134413265274,2.8338619838306287,0.2800579218874289,10.894645453522408,-1.1569381378360988,56.14850374968557,28.585080297902152,52.055559687425124,50.0,0.0,US,20,0.7364216442254286,0.9530739530738785,TP2,1.6027,124,TRUE
1747604760000,16440,long_double_bottom,long,104180.38,-0.9983759828818647,-0.6967605705119022,-0.20362087734088197,0.6068053724291868,1.8988516265344886,2.7286561208903235,0.2898505133539872,11.90842325452546,-1.2676699710002042,52.982613326507014,40.28203272934413,52.81974389828242,50.0,0.0,US,21,0.34052246474794345,1.7740658829006786,TP2,1.4785,65,TRUE
1747608360000,16500,long_double_bottom,long,105928.1,-0.45849634912373466,1.1443101118792822,0.9542356377372289,0.7146356821277818,2.2651805012053012,2.998440774926921,0.3390347905703162,31.11941902231206,0.10005460100913084,66.47455831428591,66.98486960961432,55.25830378839691,50.0,0.0,US,22,0.726320136462298,0.9677811550150914,TP1,-0.0825,104,TRUE
1747619160000,16680,long_double_bottom,long,105059.97,-1.1232890256703403,-1.0902187278581286,-0.2444390749880818,0.9453219908591245,3.3427223606883416,3.2068274576890605,0.5062545810522043,34.38252383331378,1.1320322086266053,57.94642192387926,50.10666764994056,54.34423034270141,50.0,0.0,ASIA,1,0.8728357610308926,0.08943393404614458,EXPIRE,-1.7975,180,NEUTRAL
1747622760000,16740,long_double_bottom,long,104645.15,-0.6972981724619063,-0.9262277525015957,-0.1891572517417018,0.9753424515408211,3.4715011354179395,3.04594201814397,0.4987826457389053,33.01828508253754,0.5690366596654218,54.3017138564575,32.80023400284142,52.31632261177583,50.0,0.0,ASIA,2,0.6648380710524013,1.5,SL,-1.9476,130,FALSE
1747669560000,17520,long_double_bottom,long,104786.41,-0.7005933294425929,0.09004279194801038,0.4726938478891673,0.7515567006392202,1.3324577177466106,4.372924990496712,0.14708643107696606,23.6032784419882,1.6735620567153986,48.071886303598276,81.97596050780724,36.22745540034429,50.0,0.0,US,15,0.5350297192221487,1.7205989773559942,EXPIRE,-0.1478,180,NEUTRAL
