open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
2024-01-01 00:00:00+00:00,42283.58,42554.57,42261.02,42475.23,1271.68108,2024-01-01 00:59:59.999000+00:00,53957248.97378900,47134,682.57581000,28957416.81964500,0
2024-01-01 01:00:00+00:00,42475.23,42775.0,42431.65,42613.56,1196.37856,2024-01-01 01:59:59.999000+00:00,50984893.34814160,50396,712.32227000,30355645.34827640,0
2024-01-01 02:00:00+00:00,42613.57,42638.41,42500.0,42581.1,685.2198,2024-01-01 02:59:59.999000+00:00,29167377.97323750,29863,288.98864000,12301017.29976200,0
2024-01-01 03:00:00+00:00,42581.09,42586.64,42230.08,42330.49,794.80391,2024-01-01 03:59:59.999000+00:00,33709050.27411360,38620,356.37209000,15112996.37584990,0
2024-01-01 04:00:00+00:00,42330.5,42399.99,42209.46,42399.99,715.4176,2024-01-01 04:59:59.999000+00:00,30271621.00073900,36038,371.12012000,15703618.93198530,0
2024-01-01 05:00:00+00:00,42399.98,42406.0,42180.77,42234.01,736.53152,2024-01-01 05:59:59.999000+00:00,31159533.47641020,32200,340.69312000,14414594.87094190,0
2024-01-01 06:00:00+00:00,42234.01,42424.82,42208.68,42396.69,601.3725,2024-01-01 06:59:59.999000+00:00,25454115.84474920,32653,348.73510000,14759685.25422020,0
2024-01-01 07:00:00+00:00,42396.69,42500.0,42396.68,42492.46,653.67718,2024-01-01 07:59:59.999000+00:00,27757929.58265320,27661,325.24438000,13809558.55814870,0
2024-01-01 08:00:00+00:00,42492.46,42556.5,42452.58,42549.99,427.19365,2024-01-01 08:59:59.999000+00:00,18158032.07134770,25046,202.66650000,8614418.42332190,0
2024-01-01 09:00:00+00:00,42550.0,42699.32,42537.18,42649.69,879.62491,2024-01-01 09:59:59.999000+00:00,37495909.15199460,39685,460.83221000,19643796.81806020,0
2024-01-01 10:00:00+00:00,42649.69,42749.36,42628.0,42691.1,856.81851,2024-01-01 10:59:59.999000+00:00,36575404.22777850,32952,458.26507000,19562257.29000650,0
2024-01-01 11:00:00+00:00,42691.1,42762.39,42605.21,42690.2,785.16567,2024-01-01 11:59:59.999000+00:00,33516541.81678610,39801,401.49317000,17138999.10082680,0
2024-01-01 12:00:00+00:00,42690.21,42780.0,42611.45,42648.38,785.52851,2024-01-01 12:59:59.999000+00:00,33542689.80296340,35778,363.27898000,15513372.62945690,0
2024-01-01 13:00:00+00:00,42648.37,42748.0,42612.76,42715.54,497.2024,2024-01-01 13:59:59.999000+00:00,21230655.25808760,29662,252.80525000,10794600.80038400,0
2024-01-01 14:00:00+00:00,42715.54,42715.55,42580.0,42612.24,711.01152,2024-01-01 14:59:59.999000+00:00,30312550.05451630,35688,369.47765000,15750630.37800590,0
2024-01-01 15:00:00+00:00,42612.24,42847.07,42586.51,42783.05,942.70163,2024-01-01 15:59:59.999000+00:00,40272827.06393290,47628,510.78905000,21818909.62366080,0
2024-01-01 16:00:00+00:00,42783.05,42856.0,42664.42,42725.15,918.71056,2024-01-01 16:59:59.999000+00:00,39292588.81942730,39979,449.47603000,19222594.94050820,0
2024-01-01 17:00:00+00:00,42725.15,42824.9,42704.42,42812.7,677.33678,2024-01-01 17:59:59.999000+00:00,28962179.52033760,29871,329.97146000,14108987.89340440,0
2024-01-01 18:00:00+00:00,42812.71,43208.86,42812.7,43111.1,2143.30897,2024-01-01 18:59:59.999000+00:00,92299025.19713260,93970,1193.23559000,51377573.06984710,0
2024-01-01 19:00:00+00:00,43111.1,43550.0,43103.64,43517.99,1947.61533,2024-01-01 19:59:59.999000+00:00,84416763.65405150,78415,1043.76600000,45242850.52732760,0
2024-01-01 20:00:00+00:00,43517.98,43829.99,43510.71,43687.86,2905.07295,2024-01-01 20:59:59.999000+00:00,126914170.38042870,88205,1586.93352000,69332665.63341800,0
2024-01-01 21:00:00+00:00,43687.85,43792.59,43480.76,43619.21,1541.59126,2024-01-01 21:59:59.999000+00:00,67281632.03490300,48994,737.28182000,32173665.29651550,0
2024-01-01 22:00:00+00:00,43619.22,43661.1,43361.6,43529.93,1024.36372,2024-01-01 22:59:59.999000+00:00,44554969.93258880,39588,482.27960000,20973587.99256800,0
2024-01-01 23:00:00+00:00,43529.94,44184.1,43529.93,44179.55,3475.97051,2024-01-01 23:59:59.999000+00:00,152707972.56789150,114796,2063.12837000,90668650.68437820,0
2024-01-02 00:00:00+00:00,44179.55,45200.0,44148.34,45056.0,6986.25967,2024-01-02 00:59:59.999000+00:00,311922306.38474120,252271,4339.23104000,193743218.94606880,0
2024-01-02 01:00:00+00:00,45056.0,45372.79,44686.0,44855.96,4397.86376,2024-01-02 01:59:59.999000+00:00,197892745.94853190,126411,2294.74090000,103268344.72856960,0
2024-01-02 02:00:00+00:00,44855.96,45381.42,44855.95,45378.96,3016.04235,2024-01-02 02:59:59.999000+00:00,136077337.26149300,84538,1685.63548000,76068066.05578530,0
2024-01-02 03:00:00+00:00,45378.96,45500.0,45131.1,45402.38,2693.12081,2024-01-02 03:59:59.999000+00:00,122074726.90238180,75577,1422.38101000,64476590.51306100,0
2024-01-02 04:00:00+00:00,45402.38,45468.99,45170.0,45179.8,2268.27572,2024-01-02 04:59:59.999000+00:00,102738256.47171560,72412,1096.31687000,49663658.08249580,0
2024-01-02 05:00:00+00:00,45179.8,45324.72,45121.96,45179.48,1617.2842,2024-01-02 05:59:59.999000+00:00,73162843.20932080,56528,821.72883000,37174288.83426110,0
